,NO.,Chiral_molecules_smile,RT,Column,Tem/℃,T1/min,kα/℃·min-1,Tα/min,T2/min,kβ/℃·min-1,Tβ/min,T3/min,kγ/℃·min-1,Tγ/min,T4/min,kδ/℃·min-1,Tδ/min,T5/min
1964,1965,C[C@H]1CC(=O)CC(C1=O)(C)C,12.45,CP_Chirasil_Dex_CB,90.0,2.0,4.0,6.25,10.0,10.0,6.5,2.0,0,0.0,0.0,0,0,0
1965,1966,C[C@@H]1CC(=O)CC(C1=O)(C)C,12.36,CP_Chirasil_Dex_CB,90.0,2.0,4.0,6.25,10.0,10.0,6.5,2.0,0,0.0,0.0,0,0,0
1966,1967,C[C@@H]1CCCCC1=O,10.05,CP_Chirasil_Dex_CB,80.0,6.5,10.0,5.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0
1967,1968,C[C@H]1CCCCC1=O,9.93,CP_Chirasil_Dex_CB,80.0,6.5,10.0,5.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0
1968,1969,CC(=O)c1ccc([C@@H](C)O)cc1,20.0,CP_Chirasil_Dex_CB,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0
1969,1970,CC(=O)c1ccc([C@H](C)O)cc1,20.6,CP_Chirasil_Dex_CB,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0
1970,1971,C[C@H](/C=C/C1=CC=CC=C1)O,61.6,CP_Chirasil_Dex_CB,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0
1971,1972,C[C@@H](/C=C/C1=CC=CC=C1)O,62.0,CP_Chirasil_Dex_CB,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0
1972,1973,C[C@H](CC1=CC=CC=C1)O,24.1,CP_Chirasil_Dex_CB,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0
1973,1974,C[C@@H](CC1=CC=CC=C1)O,25.7,CP_Chirasil_Dex_CB,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0
1974,1975,CCC[C@@H](O)c1ccc(Cl)cc1,36.3,CP_Chirasil_Dex_CB,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0
1975,1976,CCC[C@H](O)c1ccc(Cl)cc1,36.9,CP_Chirasil_Dex_CB,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0
1976,1977,CCC[C@@H](O)c1ccc(OC)cc1,36.4,CP_Chirasil_Dex_CB,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0
1977,1978,CCC[C@H](O)c1ccc(OC)cc1,36.8,CP_Chirasil_Dex_CB,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0
1978,1979,CC(C)(C)[C@H](C1=CC=CC=C1)O,35.5,CP_Chirasil_Dex_CB,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0
1979,1980,CC(C)(C)[C@@H](C1=CC=CC=C1)O,37.3,CP_Chirasil_Dex_CB,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0
1980,1981,[C@H]1(CCCC)OC(=O)C[C@@H]1C,12.2,CP_Chirasil_Dex_CB,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0
1981,1982,[C@@H]1(CCCC)OC(=O)C[C@H]1C,13.0,CP_Chirasil_Dex_CB,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0
1982,1983,[C@@H]1(CCCC)OC(=O)C[C@@H]1C,16.7,CP_Chirasil_Dex_CB,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0
1983,1984,[C@H]1(CCCC)OC(=O)C[C@H]1C,17.5,CP_Chirasil_Dex_CB,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0
1984,1985,CC[C@@](C)(C(=O)O)N,6.21,CP_Chirasil_Dex_CB,90.0,2.0,5.0,22.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0
1985,1986,CC[C@](C)(C(=O)O)N,6.3,CP_Chirasil_Dex_CB,90.0,2.0,5.0,22.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0
1986,1987,C[C@H]([C@@H](C)O)O,10.0,CP_Chirasil_Dex_CB,100.0,3.0,2.0,20.0,0.0,10.0,6.0,0.0,-10,10.0,0.0,0,0,0
1987,1988,C[C@@H]([C@H](C)O)O,10.26,CP_Chirasil_Dex_CB,100.0,3.0,2.0,20.0,0.0,10.0,6.0,0.0,-10,10.0,0.0,0,0,0
1988,1989,CCCCC[C@H](C)OC(=O)C,5.013,CP_Chirasil_Dex_CB,70.0,0.0,5.0,18.0,0.0,10.0,4.0,0.0,0,0.0,0.0,0,0,0
1989,1990,CCCCC[C@@H](C)OC(=O)C,7.444,CP_Chirasil_Dex_CB,70.0,0.0,5.0,18.0,0.0,10.0,4.0,0.0,0,0.0,0.0,0,0,0
1990,1991,CC(=O)O[C@@H]1CCCC[C@H]1O,12.379,CP_Chirasil_Dex_CB,70.0,0.0,5.0,18.0,0.0,10.0,4.0,0.0,0,0.0,0.0,0,0,0
1991,1992,CC(=O)O[C@H]1CCCC[C@@H]1O,11.167,CP_Chirasil_Dex_CB,70.0,0.0,5.0,18.0,0.0,10.0,4.0,0.0,0,0.0,0.0,0,0,0
1992,1993,CC(=O)O[C@@H]1CCCC[C@@H]1O,10.259,CP_Chirasil_Dex_CB,70.0,0.0,5.0,18.0,0.0,10.0,4.0,0.0,0,0.0,0.0,0,0,0
1993,1994,CC(=O)O[C@H]1CCCC[C@H]1O,10.439,CP_Chirasil_Dex_CB,70.0,0.0,5.0,18.0,0.0,10.0,4.0,0.0,0,0.0,0.0,0,0,0
1994,1995,CC(=O)O[C@@H]1CCCC[C@H]1O,15.856,CP_Chirasil_Dex_CB,70.0,0.0,5.0,18.0,0.0,10.0,4.0,0.0,0,0.0,0.0,0,0,0
1995,1996,CC(=O)O[C@H]1CCCC[C@@H]1O,14.271,CP_Chirasil_Dex_CB,70.0,0.0,5.0,18.0,0.0,10.0,4.0,0.0,0,0.0,0.0,0,0,0
1996,1997,CC(=O)O[C@@H]1CCCC[C@H]1OC(=O)C,8.985,CP_Chirasil_Dex_CB,70.0,0.0,5.0,18.0,0.0,10.0,4.0,0.0,0,0.0,0.0,0,0,0
1997,1998,CC(=O)O[C@@H]1CCCC[C@@H]1OC(=O)C,8.985,CP_Chirasil_Dex_CB,70.0,0.0,5.0,18.0,0.0,10.0,4.0,0.0,0,0.0,0.0,0,0,0
1998,1999,C1CC[C@@H]([C@@H](C1)O)O,15.157,CP_Chirasil_Dex_CB,70.0,0.0,5.0,18.0,0.0,10.0,4.0,0.0,0,0.0,0.0,0,0,0
1999,2000,C1CC[C@@H]([C@H](C1)O)O,15.157,CP_Chirasil_Dex_CB,70.0,0.0,5.0,18.0,0.0,10.0,4.0,0.0,0,0.0,0.0,0,0,0
