,NO.,Chiral_molecules_smile,RT,Column,Tem/℃,T1/min,kα/℃·min-1,Tα/min,T2/min,kβ/℃·min-1,Tβ/min,T3/min,kγ/℃·min-1,Tγ/min,T4/min,kδ/℃·min-1,Tδ/min,T5/min
1345,1346,ClC[C@@H](Br)CBr,8.275,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1346,1347,ClC[C@H](Br)CBr,8.275,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1347,1348,CCOP(=S)(OCC)O[C@@H](Cl)C(Cl)(Cl)Cl,17.21,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1348,1349,CCOP(=S)(OCC)O[C@H](Cl)C(Cl)(Cl)Cl,17.21,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1349,1350,COP(=O)(OC)OC1=C(Cl)[C@H]2C=CC[C@H]12,18.709,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1350,1351,COP(=O)(OC)OC1=C(Cl)[C@@H]2C=CC[C@H]12,18.709,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1351,1352,COP(=O)(OC)OC1=C(Cl)[C@H]2C=CC[C@@H]12,18.709,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1352,1353,COP(=O)(OC)OC1=C(Cl)[C@@H]2C=CC[C@@H]12,18.709,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1353,1354,CO[P@]1(=S)OCc2ccccc2O1,25.491,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1354,1355,CO[P@@]1(=S)OCc2ccccc2O1,25.491,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1355,1356,CCO[P@](=S)(CC)Sc1ccccc1,26.548,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1356,1357,CCO[P@@](=S)(CC)Sc1ccccc1,26.548,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1357,1358,C=C[C@@]1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,36.745,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1358,1359,C=C[C@]1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,36.745,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1359,1360,CCOC(=O)C[C@@H](SP(=S)(OC)OC)C(=O)OCC,42.479,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1360,1361,CCOC(=O)C[C@H](SP(=S)(OC)OC)C(=O)OCC,42.479,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1361,1362,CCO[C@H]1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,44.957,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1362,1363,CCO[C@@H]1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,44.957,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1363,1364,CCOC(=O)[C@@H](SP(=S)(OC)OC)c1ccccc1,48.789,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1364,1365,CCOC(=O)[C@H](SP(=S)(OC)OC)c1ccccc1,48.789,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1365,1366,CCCS[P@](=S)(OCC)Oc1ccc(Cl)cc1Cl,50.446,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1366,1367,CCCS[P@@](=S)(OCC)Oc1ccc(Cl)cc1Cl,50.446,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1367,1368,CCOC(=O)[C@]1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,51.625,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1368,1369,CCOC(=O)[C@@]1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,51.625,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1369,1370,FC(F)C(F)(F)OC[C@@H](Cn1cncn1)c1ccc(Cl)cc1Cl,53.491,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1370,1371,FC(F)C(F)(F)OC[C@H](Cn1cncn1)c1ccc(Cl)cc1Cl,53.491,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1371,1372,C[C@@]12C[C@]1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,53.731,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1372,1373,C[C@@]12C[C@@]1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,53.731,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1373,1374,C[C@]12C[C@]1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,53.731,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1374,1375,C[C@]12C[C@@]1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,53.731,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1375,1376,CCCS[P@](=O)(OCC)Oc1ccc(Br)cc1Cl,54.269,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1376,1377,CCCS[P@@](=O)(OCC)Oc1ccc(Br)cc1Cl,54.269,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1377,1378,CCN(CC)C(=O)[C@H](C)Oc1cccc2ccccc12,54.635,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1378,1379,CCN(CC)C(=O)[C@@H](C)Oc1cccc2ccccc12,54.635,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1379,1380,CCO[P@@](=S)(N[C@@H](C)CC)Oc1cc(C)ccc1[N+](=O)[O-],56.746,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
1380,1381,CCO[P@@](=S)(N[C@H](C)CC)Oc1cc(C)ccc1[N+](=O)[O-],56.746,"CP_Cyclodextrin_β_2,3,6_M_19",40.0,2.0,20.0,6.0,1.0,1.0,65.0,90.0,0,0.0,0.0,0,0,0
