,NO.,Chiral_molecules_smile,RT,Column,Tem/℃,T1/min,kα/℃·min-1,Tα/min,T2/min,kβ/℃·min-1,Tβ/min,T3/min,kγ/℃·min-1,Tγ/min,T4/min,kδ/℃·min-1,Tδ/min,T5/min
663,664,C[C@H](C1=C(C=CC=C1F)F)O,19.732,Cyclodex_B,70.0,9.0,5.0,10.0,15.0,5.0,10.0,6.0,0,0.0,0.0,0,0,0
664,665,C[C@@H](C1=C(C=CC=C1F)F)O,20.262,Cyclodex_B,70.0,9.0,5.0,10.0,15.0,5.0,10.0,6.0,0,0.0,0.0,0,0,0
665,666,C[C@H](C1=CC(=CC=C1)Cl)O,24.992,Cyclodex_B,70.0,5.0,5.0,10.0,11.0,6.0,5.0,5.0,0,0.0,0.0,0,0,0
666,667,C[C@@H](C1=CC(=CC=C1)Cl)O,25.612,Cyclodex_B,70.0,5.0,5.0,10.0,11.0,6.0,5.0,5.0,0,0.0,0.0,0,0,0
667,668,C[C@H](C1=CC(=CC=C1)Br)O,31.015,Cyclodex_B,70.0,5.0,5.0,10.0,11.0,6.0,5.0,5.0,0,0.0,0.0,0,0,0
668,669,C[C@@H](C1=CC(=CC=C1)Br)O,31.638,Cyclodex_B,70.0,5.0,5.0,10.0,11.0,6.0,5.0,5.0,0,0.0,0.0,0,0,0
669,670,C[C@@H](C1=CC=CC=C1OC)O,23.993,Cyclodex_B,70.0,5.0,5.0,10.0,11.0,6.0,5.0,5.0,0,0.0,0.0,0,0,0
670,671,C[C@H](C1=CC=CC=C1OC)O,24.332,Cyclodex_B,70.0,5.0,5.0,10.0,11.0,6.0,5.0,5.0,0,0.0,0.0,0,0,0
671,672,C[C@H](C1=CC(=CC=C1)OC)O,26.414,Cyclodex_B,70.0,5.0,5.0,10.0,11.0,6.0,5.0,5.0,0,0.0,0.0,0,0,0
672,673,C[C@@H](C1=CC(=CC=C1)OC)O,26.913,Cyclodex_B,70.0,5.0,5.0,10.0,11.0,6.0,5.0,5.0,0,0.0,0.0,0,0,0
673,674,CC[C@H](C1=CC=CC=C1)O,28.752,Cyclodex_B,70.0,9.0,5.0,10.0,15.0,5.0,10.0,6.0,0,0.0,0.0,0,0,0
674,675,CC[C@@H](C1=CC=CC=C1)O,29.283,Cyclodex_B,70.0,9.0,5.0,10.0,15.0,5.0,10.0,6.0,0,0.0,0.0,0,0,0
675,676,O[C@@H](C1=CC=CC=C1)C(C)C,21.734,Cyclodex_B,70.0,9.0,5.0,10.0,15.0,5.0,10.0,6.0,0,0.0,0.0,0,0,0
676,677,O[C@H](C1=CC=CC=C1)C(C)C,21.831,Cyclodex_B,70.0,9.0,5.0,10.0,15.0,5.0,10.0,6.0,0,0.0,0.0,0,0,0
677,678,C[C@@H](CCC1=CC=CC=C1)O,66.587,Cyclodex_B,70.0,15.0,1.0,30.0,5.0,2.0,20.0,2.0,3,10.0,8.0,0,0,0
678,679,C[C@H](CCC1=CC=CC=C1)O,67.008,Cyclodex_B,70.0,15.0,1.0,30.0,5.0,2.0,20.0,2.0,3,10.0,8.0,0,0,0
