,NO.,Chiral_molecules_smile,RT,Column,Tem/℃,T1/min,kα/℃·min-1,Tα/min,T2/min,kβ/℃·min-1,Tβ/min,T3/min,kγ/℃·min-1,Tγ/min,T4/min,kδ/℃·min-1,Tδ/min,T5/min
0,1,CC1([C@H]2C[C@@H]1C(=C)C(=O)C2)C,39.713,Cyclosil_B,40.0,5.0,3.0,36.67,10.0,7.0,5.0,0.0,0,0.0,0.0,0,0,0
1,2,CC1([C@@H]2C[C@H]1C(=C)C(=O)C2)C,39.889,Cyclosil_B,40.0,5.0,3.0,36.67,10.0,7.0,5.0,0.0,0,0.0,0.0,0,0,0
2,3,CC(C)[C@@]12CCC(=C)[C@@H]1C2,14.504,Cyclosil_B,40.0,5.0,5.0,38.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0
3,4,CC(C)[C@]12CCC(=C)[C@H]1C2,14.115,Cyclosil_B,40.0,5.0,5.0,38.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0
4,5,CC(C)[C@]12CCC(=O)[C@@H]1C2,23.998,Cyclosil_B,40.0,5.0,5.0,38.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0
5,6,CC(C)[C@@]12CCC(=O)[C@@H]1C2,24.423,Cyclosil_B,40.0,5.0,5.0,38.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0
6,7,C[C@H]1CC[C@H](CC1=O)C(=C)C,21.34,Cyclosil_B,90.0,3.0,1.5,22.0,5.0,10.0,5.7,2.0,0,0.0,0.0,0,0,0
7,8,C[C@@H]1CC[C@H](CC1=O)C(=C)C,22.27,Cyclosil_B,90.0,3.0,1.5,22.0,5.0,10.0,5.7,2.0,0,0.0,0.0,0,0,0
8,9,C[C@@H]1CCCC(=O)C1,15.95,Cyclosil_B,40.0,0.0,5.0,11.0,10.0,10.0,5.5,10.0,0,0.0,0.0,0,0,0
9,10,C[C@H]1CCCC(=O)C1,16.26,Cyclosil_B,40.0,0.0,5.0,11.0,10.0,10.0,5.5,10.0,0,0.0,0.0,0,0,0
10,11,C[C@@H]1CCC(=O)C1,21.52,Cyclosil_B,40.0,0.0,2.0,7.5,40.0,10.0,9.5,5.0,0,0.0,0.0,0,0,0
11,12,C[C@H]1CCC(=O)C1,22.08,Cyclosil_B,40.0,0.0,2.0,7.5,40.0,10.0,9.5,5.0,0,0.0,0.0,0,0,0
12,13,C[C@@H]1CCCC1=O,11.95,Cyclosil_B,40.0,0.0,5.0,5.6,15.0,10.0,9.2,2.0,0,0.0,0.0,0,0,0
13,14,C[C@H]1CCCC1=O,12.53,Cyclosil_B,40.0,0.0,5.0,5.6,15.0,10.0,9.2,2.0,0,0.0,0.0,0,0,0
14,15,C[C@@H](CCC=C(C)C)CC=O,30.16,Cyclosil_B,70.0,2.0,1.0,20.0,10.0,4.0,10.0,2.0,10,2.0,1.0,0,0,0
15,16,C[C@H](CCC=C(C)C)CC=O,30.32,Cyclosil_B,70.0,2.0,1.0,20.0,10.0,4.0,10.0,2.0,10,2.0,1.0,0,0,0
16,17,C[C@@H]1CCC(=O)O1,14.223,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
17,18,C[C@H]1CCC(=O)O1,14.616,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
18,19,CCC[C@@H]1CCC(=O)O1,21.648,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
19,20,CCC[C@H]1CCC(=O)O1,22.232,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
20,21,CCCC[C@@H]1CCC(=O)O1,26.352,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
21,22,CCCC[C@H]1CCC(=O)O1,26.855,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
22,23,CCCCCC[C@@H]1CCC(=O)O1,36.66,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
23,24,CCCCCC[C@H]1CCC(=O)O1,37.032,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
24,25,C[C@@]12CCCC(C1=CC(=O)O2)(C)C,37.663,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
25,26,C[C@]12CCCC(C1=CC(=O)O2)(C)C,37.767,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
26,27,CC1=CC[C@H](CC1)C(=C)C,12.046,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
27,28,CC1=CC[C@@H](CC1)C(=C)C,12.294,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
28,29,C[C@@]1(CC[C@@H](O1)C(C)(C)O)C=C,14.458,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
29,30,C[C@]1(CC[C@H](O1)C(C)(C)O)C=C,14.757,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
30,31,C[C@]1(CC[C@@H](O1)C(C)(C)O)C=C,14.928,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
31,32,C[C@@]1(CC[C@H](O1)C(C)(C)O)C=C,15.089,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
32,33,CC(=CCC[C@](C)(C=C)O)C,16.393,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
33,34,CC(=CCC[C@@](C)(C=C)O)C,16.603,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
34,35,C[C@@H]1CC[C@]2(O1)C(=CCCC2(C)C)C,18.756,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
35,36,C[C@H]1CC[C@@]2(O1)C(=CCCC2(C)C)C,19.304,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
36,37,C[C@H]1CC[C@]2(O1)C(=CCCC2(C)C)C,19.979,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
37,38,C[C@@H]1CC[C@@]2(O1)C(=CCCC2(C)C)C,20.312,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
38,39,CC1=CC[C@@](CC1)(C(C)C)O,19.621,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
39,40,CC1=CC[C@](CC1)(C(C)C)O,19.75,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
40,41,CC1=CC[C@H](CC1)C(C)(C)O,21.599,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
41,42,CC1=CC[C@@H](CC1)C(C)(C)O,22.026,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
42,43,C[C@@H](CCC=C(C)C)CCO,22.357,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
43,44,C[C@H](CCC=C(C)C)CCO,22.421,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
44,45,CC1=CCCC([C@@H]1/C=C/C(=O)C)(C)C,27.475,Cyclosil_B,50.0,2.0,6.0,11.67,2.0,2.0,35.0,2.0,6,5.0,0.0,0,0,0
