Comprehensive Feature Selection Report for Column: 'CP_Chirasil_Dex_CB'
============================================================
Total features evaluated: 2444
Number of features selected: 202
Elbow point identified at rank: 201 (Importance: 0.023402)
Absolute importance threshold applied: 0.100000

Selected Features (Ranked by SHAP Importance):
           feature  importance  importance_rank
         mol_piPC5    6.108668              1.0
           mol_IC5    4.827825              2.0
     mol_PEOE_VSA2    4.517152              3.0
         mol_ATS1v    2.402056              4.0
           mol_SMR    2.288115              5.0
     columo_AATS2i    2.018719              6.0
           mol_IC3    1.970618              7.0
         mol_ATS1p    1.610798              8.0
           mol_IC2    1.401022              9.0
          mol_AMID    1.382563             10.0
           mol_IC4    1.143604             11.0
     columo_MATS2Z    1.032015             12.0
          mol_nRot    0.943895             13.0
         mol_piPC9    0.932306             14.0
   mol_ETA_shape_p    0.786545             15.0
          mol_TIC1    0.748950             16.0
    mol_SlogP_VSA2    0.685107             17.0
         mol_ATS3p    0.669307             18.0
   mol_VSA_EState3    0.567519             19.0
     mol_AETA_beta    0.554238             20.0
        mol_MATS4i    0.548357             21.0
         mol_ATS8i    0.447507             22.0
        mol_ATSC1i    0.438073             23.0
      mol_BalabanJ    0.392496             24.0
     mol_PEOE_VSA7    0.383450             25.0
        mol_AXp-0d    0.379674             26.0
          mol_JGI4    0.372021             27.0
       mol_BertzCT    0.340416             28.0
         mol_ATS1m    0.311936             29.0
        mol_GATS2v    0.297295             30.0
    mol_BCUTare-1l    0.290858             31.0
mol_ETA_dEpsilon_D    0.288534             32.0
        mol_ATSC4p    0.281590             33.0
       mol_TpiPC10    0.277529             34.0
        mol_GATS4Z    0.264117             35.0
      mol_VMcGowan    0.246011             36.0
        mol_MAXsOH    0.245742             37.0
       mol_AATSC0p    0.225571             38.0
   mol_EState_VSA7    0.215514             39.0
   mol_EState_VSA8    0.213296             40.0
        mol_MATS3d    0.201282             41.0
       mol_AATSC4p    0.194472             42.0
        mol_GATS5c    0.194389             43.0
       mol_MATS7dv    0.192045             44.0
