feature,importance,selected_by_elbow,selected_by_absolute_threshold,selected_by_domain_knowledge,is_selected,importance_rank
mol_piPC5,6.1086683,True,True,False,True,1.0
mol_IC5,4.8278246,True,True,False,True,2.0
mol_PEOE_VSA2,4.5171523,True,True,False,True,3.0
mol_ATS1v,2.402056,True,True,False,True,4.0
mol_SMR,2.2881148,True,True,False,True,5.0
columo_AATS2i,2.018719,True,True,False,True,6.0
mol_IC3,1.9706181,True,True,False,True,7.0
mol_ATS1p,1.6107975,True,True,False,True,8.0
mol_IC2,1.4010218,True,True,False,True,9.0
mol_AMID,1.3825634,True,True,False,True,10.0
mol_IC4,1.143604,True,True,False,True,11.0
columo_MATS2Z,1.0320154,True,True,False,True,12.0
mol_nRot,0.94389486,True,True,False,True,13.0
mol_piPC9,0.93230605,True,True,False,True,14.0
mol_ETA_shape_p,0.7865451,True,True,False,True,15.0
mol_TIC1,0.7489499,True,True,False,True,16.0
mol_SlogP_VSA2,0.68510747,True,True,False,True,17.0
mol_ATS3p,0.6693072,True,True,False,True,18.0
mol_VSA_EState3,0.5675186,True,True,False,True,19.0
mol_AETA_beta,0.5542377,True,True,False,True,20.0
mol_MATS4i,0.54835665,True,True,False,True,21.0
mol_ATS8i,0.44750747,True,True,False,True,22.0
mol_ATSC1i,0.4380728,True,True,False,True,23.0
mol_BalabanJ,0.39249587,True,True,False,True,24.0
mol_PEOE_VSA7,0.38345048,True,True,False,True,25.0
mol_AXp-0d,0.37967396,True,True,False,True,26.0
mol_JGI4,0.37202144,True,True,False,True,27.0
mol_BertzCT,0.34041587,True,True,False,True,28.0
mol_ATS1m,0.31193578,True,True,False,True,29.0
mol_GATS2v,0.29729453,True,True,False,True,30.0
mol_BCUTare-1l,0.29085824,True,True,False,True,31.0
mol_ETA_dEpsilon_D,0.2885345,True,True,False,True,32.0
mol_ATSC4p,0.28159037,True,True,False,True,33.0
mol_TpiPC10,0.27752933,True,True,False,True,34.0
mol_GATS4Z,0.26411742,True,True,False,True,35.0
mol_VMcGowan,0.24601127,True,True,False,True,36.0
mol_MAXsOH,0.24574156,True,True,False,True,37.0
mol_AATSC0p,0.2255713,True,True,False,True,38.0
mol_EState_VSA7,0.21551439,True,True,False,True,39.0
mol_EState_VSA8,0.2132964,True,True,False,True,40.0
mol_MATS3d,0.20128189,True,True,False,True,41.0
mol_AATSC4p,0.19447209,True,True,False,True,42.0
mol_GATS5c,0.19438854,True,True,False,True,43.0
mol_MATS7dv,0.19204472,True,True,False,True,44.0
mol_AATS5dv,0.18101472,True,True,False,True,45.0
mol_MAXaaCH,0.17084515,True,True,False,True,46.0
mol_ATSC0v,0.16916819,True,True,False,True,47.0
mol_Xp-7d,0.16442685,True,True,False,True,48.0
mol_ETA_eta_FL,0.1642583,True,True,False,True,49.0
mol_MATS3pe,0.15808779,True,True,False,True,50.0
mol_AATSC5dv,0.1530623,True,True,False,True,51.0
mol_ATSC5d,0.15173489,True,True,False,True,52.0
mol_ATSC0Z,0.14806351,True,True,False,True,53.0
mol_ATSC1p,0.1448782,True,True,False,True,54.0
mol_GATS7s,0.13862628,True,True,False,True,55.0
mol_JGI6,0.13490379,True,True,False,True,56.0
mol_VSA_EState6,0.13441187,True,True,False,True,57.0
mol_TopoPSA(NO),0.13228187,True,True,False,True,58.0
mol_AATSC7d,0.13208255,True,True,False,True,59.0
mol_GATS6se,0.13203475,True,True,False,True,60.0
mol_MATS5are,0.12817763,True,True,False,True,61.0
mol_PEOE_VSA12,0.12376001,True,True,False,True,62.0
mol_ZMIC1,0.12301285,True,True,False,True,63.0
mol_ETA_eta_F,0.11916123,True,True,False,True,64.0
mol_nBondsO,0.11701048,True,True,False,True,65.0
mol_MATS2p,0.113583796,True,True,False,True,66.0
mol_VE1_A,0.11281651,True,True,False,True,67.0
mol_JGI9,0.11176624,True,True,False,True,68.0
mol_GATS6p,0.10681551,True,True,False,True,69.0
mol_GATS7Z,0.10628783,True,True,False,True,70.0
mol_AATSC1c,0.10374127,True,True,False,True,71.0
mol_AETA_eta_RL,0.10356236,True,True,False,True,72.0
