feature,importance,selected_by_elbow,selected_by_absolute_threshold,selected_by_domain_knowledge,is_selected,importance_rank
mol_PEOE_VSA2,5.5763683,True,True,False,True,1.0
columo_AATS2i,2.71978,True,True,False,True,2.0
mol_piPC5,2.553767,True,True,False,True,3.0
mol_IC5,2.2499094,True,True,False,True,4.0
mol_ATS1v,2.1725912,True,True,False,True,5.0
mol_SMR,2.0022106,True,True,False,True,6.0
columo_MATS2Z,1.9653354,True,True,False,True,7.0
mol_ETA_shape_p,1.963085,True,True,False,True,8.0
mol_TIC1,1.9341449,True,True,False,True,9.0
mol_ATS1p,1.4735777,True,True,False,True,10.0
mol_VSA_EState3,1.356823,True,True,False,True,11.0
mol_IC4,1.1411796,True,True,False,True,12.0
mol_AMID,1.0830747,True,True,False,True,13.0
mol_IC3,0.98532957,True,True,False,True,14.0
mol_AXp-0d,0.94400704,True,True,False,True,15.0
mol_ATS3p,0.65776134,True,True,False,True,16.0
mol_IC2,0.501141,True,True,False,True,17.0
mol_TopoPSA(NO),0.43780214,True,True,False,True,18.0
mol_ATSC5s,0.42061135,True,True,False,True,19.0
mol_AATSC5dv,0.40803787,True,True,False,True,20.0
mol_ETA_eta_RL,0.40223044,True,True,False,True,21.0
mol_ATSC8d,0.3209535,True,True,False,True,22.0
mol_piPC9,0.31193602,True,True,False,True,23.0
mol_AATSC1c,0.30945823,True,True,False,True,24.0
mol_BalabanJ,0.30165762,True,True,False,True,25.0
mol_PEOE_VSA7,0.3005274,True,True,False,True,26.0
mol_nBondsO,0.2925044,True,True,False,True,27.0
mol_ATS8i,0.2879898,True,True,False,True,28.0
mol_nRot,0.26425192,True,True,False,True,29.0
mol_ATSC1i,0.25461522,True,True,False,True,30.0
mol_MATS3d,0.25391167,True,True,False,True,31.0
mol_EState_VSA7,0.24539055,True,True,False,True,32.0
mol_VE2_A,0.23963016,True,True,False,True,33.0
mol_MAXaaCH,0.22226766,True,True,False,True,34.0
mol_ETA_epsilon_1,0.21567895,True,True,False,True,35.0
mol_ATS2p,0.2138324,True,True,False,True,36.0
mol_SlogP_VSA2,0.21042627,True,True,False,True,37.0
mol_MID_N,0.20802113,True,True,False,True,38.0
mol_GATS7Z,0.20362169,True,True,False,True,39.0
mol_PEOE_VSA12,0.20127112,True,True,False,True,40.0
mol_JGI9,0.1895797,True,True,False,True,41.0
mol_GATS1c,0.18559626,True,True,False,True,42.0
mol_PEOE_VSA10,0.1837781,True,True,False,True,43.0
mol_JGI6,0.17391832,True,True,False,True,44.0
mol_VMcGowan,0.16338967,True,True,False,True,45.0
mol_GATS5c,0.16032518,True,True,False,True,46.0
mol_MATS8i,0.15942091,True,True,False,True,47.0
R_Count,0.15814489,True,True,False,True,48.0
mol_AATSC7d,0.15366267,True,True,False,True,49.0
mol_AETA_beta,0.15304478,True,True,False,True,50.0
mol_MATS4i,0.1514187,True,True,False,True,51.0
mol_GATS4Z,0.15106596,True,True,False,True,52.0
mol_AETA_eta_RL,0.14432107,True,True,False,True,53.0
mol_EState_VSA8,0.13781998,True,True,False,True,54.0
mol_SIC2,0.13631947,True,True,False,True,55.0
mol_VE1_A,0.12990476,True,True,False,True,56.0
mol_JGI8,0.12960826,True,True,False,True,57.0
mol_ETA_beta,0.12920116,True,True,False,True,58.0
mol_AETA_eta_FL,0.12585402,True,True,False,True,59.0
mol_AATS2i,0.1242896,True,True,False,True,60.0
mol_GATS6se,0.123867236,True,True,False,True,61.0
mol_GATS5Z,0.12367446,True,True,False,True,62.0
mol_ATSC5Z,0.122205034,True,True,False,True,63.0
mol_MATS3pe,0.116727695,True,True,False,True,64.0
mol_GATS6p,0.11527935,True,True,False,True,65.0
mol_ATS1m,0.11401942,True,True,False,True,66.0
mol_SlogP_VSA4,0.11203805,True,True,False,True,67.0
mol_TpiPC10,0.11104272,True,True,False,True,68.0
mol_AATS2se,0.11072032,True,True,False,True,69.0
mol_AATS2v,0.110210545,True,True,False,True,70.0
mol_GATS3are,0.10345515,True,True,False,True,71.0
mol_SpAbs_D,0.10274526,True,True,False,True,72.0
mol_MDEC-22,0.10232487,True,True,False,True,73.0
mol_C1SP2,0.10221769,True,True,False,True,74.0
mol_BertzCT,0.101708665,True,True,False,True,75.0
mol_BCUTare-1l,0.09970065,True,False,False,True,76.0
mol_ATSC0v,0.099156685,True,False,False,True,77.0
mol_MATS5pe,0.09781417,True,False,False,True,78.0
mol_ETA_dEpsilon_D,0.094957106,True,False,False,True,79.0
mol_MATS4s,0.09228866,True,False,False,True,80.0
mol_MDEC-13,0.08794762,True,False,False,True,81.0
mol_GATS1i,0.087148815,True,False,False,True,82.0
mol_EState_VSA3,0.08705887,True,False,False,True,83.0
mol_VSA_EState5,0.08562137,True,False,False,True,84.0
mol_JGI4,0.085235134,True,False,False,True,85.0
mol_ATSC3Z,0.08474218,True,False,False,True,86.0
mol_ATSC1s,0.08423254,True,False,False,True,87.0
mol_ATSC4p,0.08161818,True,False,False,True,88.0
mol_GATS4d,0.07998995,True,False,False,True,89.0
mol_AATSC6dv,0.07829125,True,False,False,True,90.0
mol_AATS6i,0.0771612,True,False,False,True,91.0
mol_RPCG,0.07413337,True,False,False,True,92.0
mol_BCUTdv-1l,0.07263233,True,False,False,True,93.0
mol_AXp-4dv,0.07186462,True,False,False,True,94.0
mol_AETA_eta_F,0.07062323,True,False,False,True,95.0
mol_Xp-7d,0.063618034,True,False,False,True,96.0
mol_MATS1are,0.06332914,True,False,False,True,97.0
mol_ETA_beta_ns,0.063285306,True,False,False,True,98.0
mol_ATS8dv,0.0631501,True,False,False,True,99.0
mol_AATS3Z,0.06271402,True,False,False,True,100.0
mol_JGI7,0.060904503,True,False,False,True,101.0
mol_MDEC-34,0.060080588,True,False,False,True,102.0
mol_ETA_eta_FL,0.05943962,True,False,False,True,103.0
mol_AATS7d,0.05818287,True,False,False,True,104.0
mol_AATSC4p,0.05813804,True,False,False,True,105.0
mol_AATS5dv,0.058056355,True,False,False,True,106.0
mol_FilterItLogS,0.05772192,True,False,False,True,107.0
mol_AATS4p,0.05641254,True,False,False,True,108.0
mol_GATS8c,0.056275908,True,False,False,True,109.0
mol_MATS7dv,0.05602598,True,False,False,True,110.0
mol_nBonds,0.055302918,True,False,False,True,111.0
mol_piPC10,0.054834563,True,False,False,True,112.0
mol_Mp,0.052862577,True,False,False,True,113.0
mol_C2SP3,0.052289885,True,False,False,True,114.0
mol_MATS5are,0.051982246,True,False,False,True,115.0
mol_MINaasC,0.051845394,True,False,False,True,116.0
mol_ATSC7c,0.050837196,True,False,False,True,117.0
mol_SlogP_VSA6,0.049176935,True,False,False,True,118.0
mol_GATS2pe,0.04820008,True,False,False,True,119.0
