feature,importance,selected_by_elbow,selected_by_absolute_threshold,selected_by_domain_knowledge,is_selected,importance_rank
mol_PEOE_VSA2,5.078508,True,True,False,True,1.0
mol_piPC5,3.9050913,True,True,False,True,2.0
mol_IC5,3.343069,True,True,False,True,3.0
columo_AATS2i,2.4271462,True,True,False,True,4.0
mol_ATS1v,2.129584,True,True,False,True,5.0
mol_SMR,2.0560722,True,True,False,True,6.0
columo_MATS2Z,1.5943964,True,True,False,True,7.0
mol_ATS1p,1.4770311,True,True,False,True,8.0
mol_TIC1,1.3871493,True,True,False,True,9.0
mol_IC3,1.3764645,True,True,False,True,10.0
mol_ETA_shape_p,1.3426212,True,True,False,True,11.0
mol_IC4,1.2443773,True,True,False,True,12.0
mol_AMID,1.1629494,True,True,False,True,13.0
mol_VSA_EState3,1.0549465,True,True,False,True,14.0
mol_IC2,0.90240014,True,True,False,True,15.0
mol_AXp-0d,0.6918784,True,True,False,True,16.0
mol_ATS3p,0.6051182,True,True,False,True,17.0
mol_nRot,0.58296525,True,True,False,True,18.0
mol_piPC9,0.56496096,True,True,False,True,19.0
mol_SlogP_VSA2,0.48368955,True,True,False,True,20.0
mol_ATSC1i,0.4038815,True,True,False,True,21.0
mol_ATS8i,0.3544449,True,True,False,True,22.0
mol_AETA_beta,0.35281935,True,True,False,True,23.0
mol_AATSC5dv,0.3364284,True,True,False,True,24.0
mol_BalabanJ,0.32475844,True,True,False,True,25.0
mol_TopoPSA(NO),0.3016503,True,True,False,True,26.0
mol_PEOE_VSA7,0.29488483,True,True,False,True,27.0
mol_ATSC5s,0.28701055,True,True,False,True,28.0
mol_AATSC7d,0.2827336,True,True,False,True,29.0
mol_ETA_eta_RL,0.26055086,True,True,False,True,30.0
mol_MATS4i,0.25749087,True,True,False,True,31.0
mol_GATS4Z,0.2539033,True,True,False,True,32.0
mol_ATSC8d,0.22036125,True,True,False,True,33.0
mol_EState_VSA7,0.21443495,True,True,False,True,34.0
mol_AATSC1c,0.21372467,True,True,False,True,35.0
mol_nBondsO,0.21162744,True,True,False,True,36.0
mol_ATS1m,0.20676573,True,True,False,True,37.0
mol_MAXaaCH,0.2042873,True,True,False,True,38.0
mol_MATS3pe,0.19505115,True,True,False,True,39.0
mol_MATS3d,0.19223227,True,True,False,True,40.0
mol_PEOE_VSA12,0.18814975,True,True,False,True,41.0
mol_VMcGowan,0.18799478,True,True,False,True,42.0
mol_GATS5c,0.17935464,True,True,False,True,43.0
mol_BCUTare-1l,0.17155455,True,True,False,True,44.0
mol_ETA_dEpsilon_D,0.1687696,True,True,False,True,45.0
mol_TpiPC10,0.16343145,True,True,False,True,46.0
mol_AETA_eta_RL,0.16261429,True,True,False,True,47.0
mol_JGI9,0.16250911,True,True,False,True,48.0
mol_ATS2p,0.16044144,True,True,False,True,49.0
mol_BertzCT,0.1537224,True,True,False,True,50.0
mol_JGI6,0.15364209,True,True,False,True,51.0
mol_VE2_A,0.15355594,True,True,False,True,52.0
mol_GATS7Z,0.15343334,True,True,False,True,53.0
mol_JGI4,0.15284649,True,True,False,True,54.0
mol_PEOE_VSA10,0.15059815,True,True,False,True,55.0
mol_GATS6se,0.14881803,True,True,False,True,56.0
mol_MID_N,0.14032254,True,True,False,True,57.0
mol_EState_VSA8,0.13686237,True,True,False,True,58.0
mol_ATSC4p,0.13405408,True,True,False,True,59.0
mol_ETA_epsilon_1,0.12697372,True,True,False,True,60.0
mol_AATSC0p,0.12536497,True,True,False,True,61.0
mol_SIC2,0.12330693,True,True,False,True,62.0
mol_GATS1c,0.1232312,True,True,False,True,63.0
mol_ATSC0v,0.12315428,True,True,False,True,64.0
mol_GATS6p,0.12230123,True,True,False,True,65.0
mol_MATS8i,0.12108764,True,True,False,True,66.0
mol_VE1_A,0.12078854,True,True,False,True,67.0
R_Count,0.11555459,True,True,False,True,68.0
mol_ATSC0Z,0.113676414,True,True,False,True,69.0
mol_MATS7dv,0.10996692,True,True,False,True,70.0
