feature,importance,selected_by_elbow,selected_by_absolute_threshold,selected_by_domain_knowledge,is_selected,importance_rank
mol_PEOE_VSA2,18.881334,True,True,False,True,1.0
mol_piPC5,3.391032,True,True,False,True,2.0
mol_IC5,2.887543,True,True,False,True,3.0
columo_AATS2i,2.4088702,True,True,False,True,4.0
mol_ATS1v,1.7682294,True,True,False,True,5.0
mol_SMR,1.7421057,True,True,False,True,6.0
columo_MATS2Z,1.5053887,True,True,False,True,7.0
mol_ATS1p,1.2224038,True,True,False,True,8.0
mol_IC3,1.1986817,True,True,False,True,9.0
mol_ETA_shape_p,1.1234751,True,True,False,True,10.0
mol_IC4,1.095089,True,True,False,True,11.0
mol_TIC1,1.0739715,True,True,False,True,12.0
mol_AMID,1.0051293,True,True,False,True,13.0
mol_VSA_EState3,0.8697035,True,True,False,True,14.0
mol_ATS1m,0.6950925,True,True,False,True,15.0
mol_AXp-0d,0.63301736,True,True,False,True,16.0
mol_IC2,0.60205054,True,True,False,True,17.0
mol_nRot,0.57568383,True,True,False,True,18.0
mol_ATSC1i,0.5394411,True,True,False,True,19.0
mol_JGI9,0.5136021,True,True,False,True,20.0
mol_ATS3p,0.48530728,True,True,False,True,21.0
mol_PEOE_VSA12,0.419568,True,True,False,True,22.0
mol_piPC9,0.41582295,True,True,False,True,23.0
mol_SlogP_VSA2,0.37656474,True,True,False,True,24.0
mol_ETA_eta_RL,0.3354292,True,True,False,True,25.0
mol_ATSC5s,0.29776976,True,True,False,True,26.0
mol_AETA_beta,0.28627115,True,True,False,True,27.0
mol_MAXaaCH,0.28433797,True,True,False,True,28.0
mol_AETA_eta_FL,0.2755954,True,True,False,True,29.0
mol_PEOE_VSA7,0.27241555,True,True,False,True,30.0
mol_AATS6i,0.2692643,True,True,False,True,31.0
mol_AATSC7d,0.26877996,True,True,False,True,32.0
mol_AATSC5dv,0.26826242,True,True,False,True,33.0
mol_TopoPSA(NO),0.2656381,True,True,False,True,34.0
mol_MATS4i,0.25399905,True,True,False,True,35.0
mol_JGI6,0.24890572,True,True,False,True,36.0
mol_BalabanJ,0.24725705,True,True,False,True,37.0
mol_EState_VSA7,0.24542755,True,True,False,True,38.0
mol_AATS4p,0.23494172,True,True,False,True,39.0
mol_GATS4Z,0.23002864,True,True,False,True,40.0
mol_MATS3pe,0.22845374,True,True,False,True,41.0
mol_MATS3d,0.2282375,True,True,False,True,42.0
mol_ATS0Z,0.22442362,True,True,False,True,43.0
mol_MID_N,0.20816103,True,True,False,True,44.0
mol_GATS1c,0.20601788,True,True,False,True,45.0
mol_AATSC1c,0.18673205,True,True,False,True,46.0
mol_GATS7s,0.18418725,True,True,False,True,47.0
mol_GATS6se,0.18405086,True,True,False,True,48.0
mol_ATS8dv,0.17889367,True,True,False,True,49.0
mol_ATS8i,0.17828816,True,True,False,True,50.0
mol_ATSC8d,0.17740731,True,True,False,True,51.0
mol_nBondsO,0.17720187,True,True,False,True,52.0
mol_EState_VSA8,0.17601594,True,True,False,True,53.0
mol_ETA_eta_F,0.17510706,True,True,False,True,54.0
mol_AETA_eta_RL,0.17368172,True,True,False,True,55.0
mol_FilterItLogS,0.16997625,True,True,False,True,56.0
mol_ATS2p,0.16375023,True,True,False,True,57.0
mol_SIC2,0.16240868,True,True,False,True,58.0
mol_GATS5c,0.16208045,True,True,False,True,59.0
mol_ETA_epsilon_1,0.16072892,True,True,False,True,60.0
mol_RPCG,0.16038673,True,True,False,True,61.0
mol_VE2_A,0.15576626,True,True,False,True,62.0
mol_PEOE_VSA10,0.15482597,True,True,False,True,63.0
mol_JGI4,0.15258878,True,True,False,True,64.0
mol_ETA_dEpsilon_D,0.15046123,True,True,False,True,65.0
mol_JGI7,0.14798775,True,True,False,True,66.0
mol_GATS5Z,0.14312173,True,True,False,True,67.0
mol_TpiPC10,0.14269866,True,True,False,True,68.0
mol_VMcGowan,0.14093074,True,True,False,True,69.0
mol_JGI8,0.13889761,True,True,False,True,70.0
mol_BCUTare-1l,0.13833645,True,True,False,True,71.0
mol_GATS7Z,0.13449408,True,True,False,True,72.0
mol_ATSC4p,0.13175838,True,True,False,True,73.0
mol_MATS8i,0.12843093,True,True,False,True,74.0
mol_BCUTv-1h,0.12503327,True,True,False,True,75.0
mol_AATSC0p,0.12480683,True,True,False,True,76.0
mol_ATSC1s,0.124535054,True,True,False,True,77.0
mol_BertzCT,0.12401903,True,True,False,True,78.0
mol_AATS7d,0.123022616,True,True,False,True,79.0
mol_GATS1i,0.116083376,True,True,False,True,80.0
mol_AATS2i,0.110525474,True,True,False,True,81.0
R_Count,0.10978081,True,True,False,True,82.0
mol_C1SP2,0.10908479,True,True,False,True,83.0
mol_AATS2se,0.10346716,True,True,False,True,84.0
mol_AATS5dv,0.10319878,True,True,False,True,85.0
mol_VE1_A,0.101496875,True,True,False,True,86.0
mol_GATS6p,0.10022368,True,True,False,True,87.0
mol_BCUTdv-1l,0.09946598,True,False,False,True,88.0
mol_GATS3are,0.09869917,True,False,False,True,89.0
mol_MATS7dv,0.09653406,True,False,False,True,90.0
mol_AATS2v,0.09296365,True,False,False,True,91.0
mol_MDEC-13,0.08940004,True,False,False,True,92.0
mol_MATS1are,0.08846934,True,False,False,True,93.0
mol_ATSC0Z,0.08598566,True,False,False,True,94.0
mol_VSA_EState5,0.083508916,True,False,False,True,95.0
mol_ETA_eta_FL,0.08265028,True,False,False,True,96.0
mol_GATS6Z,0.0823165,True,False,False,True,97.0
mol_C2SP3,0.081309475,True,False,False,True,98.0
mol_AETA_eta_BR,0.081177056,True,False,False,True,99.0
mol_MATS5are,0.07876444,True,False,False,True,100.0
mol_AATS5p,0.075560875,True,False,False,True,101.0
mol_GATS2v,0.07511727,True,False,False,True,102.0
mol_MDEC-22,0.073813595,True,False,False,True,103.0
mol_AXp-4dv,0.07219362,True,False,False,True,104.0
mol_AATS6Z,0.07139278,True,False,False,True,105.0
mol_nBonds,0.07056045,True,False,False,True,106.0
mol_GATS1v,0.069878146,True,False,False,True,107.0
mol_n10FHRing,0.06985012,True,False,False,True,108.0
mol_AATSC4p,0.06938473,True,False,False,True,109.0
mol_MATS4p,0.06851889,True,False,False,True,110.0
mol_ATSC0v,0.06811393,True,False,False,True,111.0
mol_GATS2pe,0.06797735,True,False,False,True,112.0
mol_MATS7s,0.067962654,True,False,False,True,113.0
mol_MATS4d,0.06732033,True,False,False,True,114.0
mol_ATSC3Z,0.06725737,True,False,False,True,115.0
mol_MATS5pe,0.06718263,True,False,False,True,116.0
mol_MDEC-23,0.06640113,True,False,False,True,117.0
mol_GATS8c,0.06504183,True,False,False,True,118.0
mol_ZMIC1,0.064697884,True,False,False,True,119.0
mol_SpAbs_D,0.064362206,True,False,False,True,120.0
mol_SlogP_VSA4,0.06426092,True,False,False,True,121.0
mol_ETA_beta,0.062396117,True,False,False,True,122.0
Chiral_Type,0.061960176,True,False,True,True,123.0
mol_Mp,0.06195657,True,False,False,True,124.0
mol_Xp-7d,0.06107755,True,False,False,True,125.0
mol_AXp-5d,0.060071852,True,False,False,True,126.0
mol_AATSC4i,0.057345435,True,False,False,True,127.0
mol_ATSC3s,0.05684158,True,False,False,True,128.0
mol_ATSC5d,0.056819145,True,False,False,True,129.0
mol_MATS2p,0.056144543,True,False,False,True,130.0
S_Count,0.056064818,True,False,False,True,131.0
mol_GATS7v,0.05559764,True,False,False,True,132.0
mol_ATSC8Z,0.055023722,True,False,False,True,133.0
mol_MATS4s,0.05398885,True,False,False,True,134.0
mol_ATSC5Z,0.05283025,True,False,False,True,135.0
mol_MATS4pe,0.0525896,True,False,False,True,136.0
mol_EState_VSA3,0.051192645,True,False,False,True,137.0
mol_GATS4d,0.05026708,True,False,False,True,138.0
mol_IC1,0.049318742,True,False,False,True,139.0
mol_SIC4,0.04860869,True,False,False,True,140.0
mol_AATSC6dv,0.048485488,True,False,False,True,141.0
mol_MATS1i,0.048222754,True,False,False,True,142.0
mol_ETA_dAlpha_B,0.048008926,True,False,False,True,143.0
mol_JGT10,0.04591456,True,False,False,True,144.0
mol_GATS1dv,0.045890354,True,False,False,True,145.0
mol_SsssN,0.04477747,True,False,False,True,146.0
mol_ATS7d,0.04450795,True,False,False,True,147.0
mol_IC0,0.04362113,True,False,False,True,148.0
mol_ATSC4i,0.04320428,True,False,False,True,149.0
mol_CIC4,0.04309189,True,False,False,True,150.0
mol_ATS2m,0.042950653,True,False,False,True,151.0
mol_MINaasC,0.04244738,True,False,False,True,152.0
mol_ATSC1p,0.042383164,True,False,False,True,153.0
mol_AATSC2Z,0.04169164,True,False,False,True,154.0
mol_Xpc-5d,0.041637305,True,False,False,True,155.0
mol_Sp,0.04145279,True,False,False,True,156.0
mol_GATS4c,0.041366816,True,False,False,True,157.0
mol_MATS3se,0.041363228,True,False,False,True,158.0
mol_ATSC7d,0.04121933,True,False,False,True,159.0
mol_BIC4,0.040885985,True,False,False,True,160.0
mol_ATSC1are,0.04071872,True,False,False,True,161.0
mol_ETA_beta_ns,0.0402623,True,False,False,True,162.0
mol_AATS8se,0.04013942,True,False,False,True,163.0
mol_CIC3,0.039483774,True,False,False,True,164.0
mol_ATSC2d,0.038789082,True,False,False,True,165.0
mol_AATSC0pe,0.03807164,True,False,False,True,166.0
mol_RNCG,0.037846778,True,False,False,True,167.0
mol_MATS2are,0.037737392,True,False,False,True,168.0
mol_MAXsOH,0.037236948,True,False,False,True,169.0
mol_AATS2pe,0.036612198,True,False,False,True,170.0
mol_ATSC7c,0.036533736,True,False,False,True,171.0
mol_GATS1d,0.03637514,True,False,False,True,172.0
mol_AATSC5i,0.036367036,True,False,False,True,173.0
mol_piPC10,0.03634078,True,False,False,True,174.0
mol_AATS3Z,0.036186073,True,False,False,True,175.0
mol_JGI2,0.035527974,True,False,False,True,176.0
mol_AATSC1i,0.035356168,True,False,False,True,177.0
mol_ETA_epsilon_2,0.03416748,True,False,False,True,178.0
mol_RotRatio,0.033276755,True,False,False,True,179.0
mol_Xpc-5dv,0.0331756,True,False,False,True,180.0
mol_ATS4d,0.032438975,True,False,False,True,181.0
mol_AATS8v,0.031050533,True,False,False,True,182.0
mol_ATSC6dv,0.030985106,True,False,False,True,183.0
mol_AATS5i,0.030969556,True,False,False,True,184.0
mol_GGI10,0.030822372,True,False,False,True,185.0
mol_MATS7d,0.029227303,True,False,False,True,186.0
mol_GATS5d,0.028935049,True,False,False,True,187.0
mol_ATSC6p,0.028459907,True,False,False,True,188.0
mol_MATS7c,0.027993776,True,False,False,True,189.0
mol_AATSC7s,0.027710615,True,False,False,True,190.0
mol_MATS7Z,0.027454354,True,False,False,True,191.0
mol_ECIndex,0.027429495,True,False,False,True,192.0
mol_nBondsKS,0.02693485,True,False,False,True,193.0
Total_Chiral,0.0,False,False,True,True,1518.0
