feature,importance,selected_by_elbow,selected_by_absolute_threshold,selected_by_domain_knowledge,is_selected,importance_rank
mol_PEOE_VSA2,5.2373214,True,True,False,True,1.0
mol_piPC5,3.0707607,True,True,False,True,2.0
mol_IC5,2.7545576,True,True,False,True,3.0
columo_AATS2i,2.5946908,True,True,False,True,4.0
mol_ATS1v,2.0588436,True,True,False,True,5.0
mol_SMR,1.933736,True,True,False,True,6.0
mol_ETA_shape_p,1.8249998,True,True,False,True,7.0
columo_MATS2Z,1.7770398,True,True,False,True,8.0
mol_TIC1,1.5920925,True,True,False,True,9.0
mol_ATS1p,1.3811132,True,True,False,True,10.0
mol_VSA_EState3,1.2109982,True,True,False,True,11.0
mol_AMID,1.1553159,True,True,False,True,12.0
mol_IC3,1.1519758,True,True,False,True,13.0
mol_IC4,1.1125894,True,True,False,True,14.0
mol_AXp-0d,0.89730203,True,True,False,True,15.0
mol_IC2,0.7280241,True,True,False,True,16.0
mol_nRot,0.6683187,True,True,False,True,17.0
mol_ATS3p,0.6102362,True,True,False,True,18.0
mol_ATSC1i,0.5656234,True,True,False,True,19.0
mol_AATSC7d,0.47359884,True,True,False,True,20.0
mol_piPC9,0.4158977,True,True,False,True,21.0
mol_PEOE_VSA7,0.36951005,True,True,False,True,22.0
mol_TopoPSA(NO),0.3601592,True,True,False,True,23.0
mol_SlogP_VSA2,0.32407495,True,True,False,True,24.0
mol_ATS8i,0.32089677,True,True,False,True,25.0
mol_BalabanJ,0.32023832,True,True,False,True,26.0
mol_AATSC5dv,0.31761634,True,True,False,True,27.0
mol_ETA_eta_RL,0.31025565,True,True,False,True,28.0
mol_ATSC5s,0.30288345,True,True,False,True,29.0
mol_AETA_beta,0.27259243,True,True,False,True,30.0
mol_SIC2,0.26107734,True,True,False,True,31.0
mol_ATSC8d,0.25939685,True,True,False,True,32.0
mol_nBondsO,0.24792106,True,True,False,True,33.0
mol_EState_VSA7,0.24548884,True,True,False,True,34.0
mol_AATSC1c,0.24513914,True,True,False,True,35.0
mol_MAXaaCH,0.23998103,True,True,False,True,36.0
mol_MATS3d,0.2359185,True,True,False,True,37.0
mol_ETA_epsilon_1,0.21367876,True,True,False,True,38.0
mol_PEOE_VSA12,0.2125302,True,True,False,True,39.0
mol_VE2_A,0.18942271,True,True,False,True,40.0
mol_ATS2p,0.18532509,True,True,False,True,41.0
mol_MATS4i,0.18020836,True,True,False,True,42.0
mol_GATS7Z,0.17724937,True,True,False,True,43.0
mol_GATS4Z,0.17459364,True,True,False,True,44.0
mol_GATS5c,0.17329046,True,True,False,True,45.0
mol_VMcGowan,0.17187299,True,True,False,True,46.0
