NO.,Chiral_molecules_smile,RT,Column,Tem/℃,T1/min,kα/℃·min-1,Tα/min,T2/min,kβ/℃·min-1,Tβ/min,T3/min,kγ/℃·min-1,Tγ/min,T4/min,kδ/℃·min-1,Tδ/min,T5/min
1,CC1([C@H]2C[C@@H]1C(=C)C(=O)C2)C,39.713,Cyclosil_B,40,5,3,36.67,10,7,5,0,0,0,0,0,0,0
2,CC1([C@@H]2C[C@H]1C(=C)C(=O)C2)C,39.889,Cyclosil_B,40,5,3,36.67,10,7,5,0,0,0,0,0,0,0
3,CC(C)[C@@]12CCC(=C)[C@@H]1C2,14.504,Cyclosil_B,40,5,5,38,5,0,0,0,0,0,0,0,0,0
4,CC(C)[C@]12CCC(=C)[C@H]1C2,14.115,Cyclosil_B,40,5,5,38,5,0,0,0,0,0,0,0,0,0
5,CC(C)[C@]12CCC(=O)[C@@H]1C2,23.998,Cyclosil_B,40,5,5,38,5,0,0,0,0,0,0,0,0,0
6,CC(C)[C@@]12CCC(=O)[C@@H]1C2,24.423,Cyclosil_B,40,5,5,38,5,0,0,0,0,0,0,0,0,0
7,C[C@H]1CC[C@H](CC1=O)C(=C)C,21.34,Cyclosil_B,90,3,1.5,22,5,10,5.7,2,0,0,0,0,0,0
8,C[C@@H]1CC[C@H](CC1=O)C(=C)C,22.27,Cyclosil_B,90,3,1.5,22,5,10,5.7,2,0,0,0,0,0,0
9,C[C@@H]1CCCC(=O)C1,15.95,Cyclosil_B,40,0,5,11,10,10,5.5,10,0,0,0,0,0,0
10,C[C@H]1CCCC(=O)C1,16.26,Cyclosil_B,40,0,5,11,10,10,5.5,10,0,0,0,0,0,0
11,C[C@@H]1CCC(=O)C1,21.52,Cyclosil_B,40,0,2,7.5,40,10,9.5,5,0,0,0,0,0,0
12,C[C@H]1CCC(=O)C1,22.08,Cyclosil_B,40,0,2,7.5,40,10,9.5,5,0,0,0,0,0,0
13,C[C@@H]1CCCC1=O,11.95,Cyclosil_B,40,0,5,5.6,15,10,9.2,2,0,0,0,0,0,0
14,C[C@H]1CCCC1=O,12.53,Cyclosil_B,40,0,5,5.6,15,10,9.2,2,0,0,0,0,0,0
15,C[C@@H](CCC=C(C)C)CC=O,30.16,Cyclosil_B,70,2,1,20,10,4,10,2,10,2,1,0,0,0
16,C[C@H](CCC=C(C)C)CC=O,30.32,Cyclosil_B,70,2,1,20,10,4,10,2,10,2,1,0,0,0
17,C[C@@H]1CCC(=O)O1,14.223,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
18,C[C@H]1CCC(=O)O1,14.616,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
19,CCC[C@@H]1CCC(=O)O1,21.648,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
20,CCC[C@H]1CCC(=O)O1,22.232,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
21,CCCC[C@@H]1CCC(=O)O1,26.352,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
22,CCCC[C@H]1CCC(=O)O1,26.855,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
23,CCCCCC[C@@H]1CCC(=O)O1,36.66,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
24,CCCCCC[C@H]1CCC(=O)O1,37.032,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
25,C[C@@]12CCCC(C1=CC(=O)O2)(C)C,37.663,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
26,C[C@]12CCCC(C1=CC(=O)O2)(C)C,37.767,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
27,CC1=CC[C@H](CC1)C(=C)C,12.046,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
28,CC1=CC[C@@H](CC1)C(=C)C,12.294,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
29,C[C@@]1(CC[C@@H](O1)C(C)(C)O)C=C,14.458,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
30,C[C@]1(CC[C@H](O1)C(C)(C)O)C=C,14.757,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
31,C[C@]1(CC[C@@H](O1)C(C)(C)O)C=C,14.928,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
32,C[C@@]1(CC[C@H](O1)C(C)(C)O)C=C,15.089,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
33,CC(=CCC[C@](C)(C=C)O)C,16.393,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
34,CC(=CCC[C@@](C)(C=C)O)C,16.603,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
35,C[C@@H]1CC[C@]2(O1)C(=CCCC2(C)C)C,18.756,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
36,C[C@H]1CC[C@@]2(O1)C(=CCCC2(C)C)C,19.304,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
37,C[C@H]1CC[C@]2(O1)C(=CCCC2(C)C)C,19.979,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
38,C[C@@H]1CC[C@@]2(O1)C(=CCCC2(C)C)C,20.312,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
39,CC1=CC[C@@](CC1)(C(C)C)O,19.621,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
40,CC1=CC[C@](CC1)(C(C)C)O,19.75,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
41,CC1=CC[C@H](CC1)C(C)(C)O,21.599,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
42,CC1=CC[C@@H](CC1)C(C)(C)O,22.026,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
43,C[C@@H](CCC=C(C)C)CCO,22.357,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
44,C[C@H](CCC=C(C)C)CCO,22.421,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
45,CC1=CCCC([C@@H]1/C=C/C(=O)C)(C)C,27.475,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
46,CC1=CCCC([C@H]1/C=C/C(=O)C)(C)C,28.035,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
47,CC(=CCC/C(=C\CC[C@](C)(C=C)O)/C)C,34.356,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
48,CC(=CCC/C(=C\CC[C@@](C)(C=C)O)/C)C,34.59,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
49,CC(=CCC/C(=C/CC[C@](C)(C=C)O)/C)C,36.269,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
50,CC(=CCC/C(=C/CC[C@@](C)(C=C)O)/C)C,36.555,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
51,CC/C=C\C[C@@H]1[C@H](CCC1=O)CC(=O)OC,40.958,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
52,CC/C=C\C[C@H]1[C@@H](CCC1=O)CC(=O)OC,41.341,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
53,CC/C=C\C[C@H]1[C@H](CCC1=O)CC(=O)OC,42.214,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
54,CC/C=C/C[C@@H]1[C@@H](CCC1=O)CC(=O)OC,42.89,Cyclosil_B,50,2,6,11.67,2,2,35,2,6,5,0,0,0,0
55,C[C@H](C1=CC=CC=C1)O,25.535,Cyclosil_B,70,9,5,10,11,0,0,0,0,0,0,0,0,0
56,C[C@@H](C1=CC=CC=C1)O,26.402,Cyclosil_B,70,9,5,10,11,0,0,0,0,0,0,0,0,0
57,C[C@H](C1=CC(=CC=C1)C(F)(F)F)O,20.221,Cyclosil_B,110,10,1,12,0,10,5,1,0,0,0,0,0,0
58,C[C@@H](C1=CC(=CC=C1)C(F)(F)F)O,20.984,Cyclosil_B,110,10,1,12,0,10,5,1,0,0,0,0,0,0
